#This file originally appeared at:
#https://github.com/bibhuticoder/dummydata/blob/master/data.csv

Firstname, Lastname, Gender, Age, Email, phone, Address, District
SHADANANDA,  JAISWAL,  M,35,  shadanandajai@live.com,9843087980, Ramche, Sindhupalchok
CHIRANJIVI,  TANDUKAR,  M,45,  chiranjivi475@hotmail.com,9810193276, Akhikarichaur, Baglung
BIDHAN,  PURI,  M,42,  bidhanpu@hotmail.com,9811033002, Jatahara, Rautahat
RIJAN,  PANTHEE,  M,42,  pantheerijan@rocketmail.com,9813840675, Fatuwaharsaha, Rautahat
KUSHAL,  BHANDARI,  M,25,  kushalbhandari@yahoo.com,9814475279, Syama, Dolakha
RAMSHARAN,  BIST,  M,59,  ramsharanbi@gmail.com,9812476130, Paralmi, Gulmi
GOVIND,  ACHARYA,  M,32,  acharyagovind@gmail.com,9850314688, Trikola, Saptari
PRANIT,  CHAPAGAIN,  M,54,  pranitchap@hotmail.com,9859858830, Khagalgaun, Humla
TULSI,  KARKI,  M,33,  tulsi463@rocketmail.com,9811256472, Chilaunebas, Syangja
BISHAL,  PAL,  M,59,  bishalpal@yahoo.com,9814456723, Batase, Khotang
NISHANT,  GYAWALI,  M,56,  nishantgya@rocketmail.com,9814471024, Thidingkha, Bhojpur
SULAV,  SHRESTHA,  M,45,  sulav606@hotmail.com,9810081197, Gamaudi, Dailekh
SWAVIMAN,  GUPTA,  M,47,  swavimangu@rocketmail.com,9814906025, Parsapateli, Mahottari
CHANDAN,  SINKHWAL,  M,26,  chandansinkhwal@rocketmail.com,9854530056, Kalpabrishykha, Sindhuli
SONY,  KUINKEL,  F,18,  sony680@yahoo.com,9844368665, Pajarkatti, Rupandehi
MAHESH,  KHADKA,  M,46,  mahesh852@live.com,9849099450, Bhawang, Rolpa
BASANTA,  YADAV,  M,47,  basantayadav@live.com,9813169355, Simara, Sarlahi
ANUPAM,  CHAUDHARY,  M,52,  anupam323@rocketmail.com,9814200247, Lamatola, Bajhang
YOGESH,  POUDEL,  M,42,  yogeshpoudel@live.com,9812641423, Radhopur, Siraha
BASHU,  NEUPANE,  M,41,  bashuneu@hotmail.com,9813130631, Woplukha, Khotang
SUBHAS,  ARYAL,  M,52,  aryalsubhas@live.com,9813320792, Piprapra.Dha, Siraha
AVINASH,  SHRESTHA,  M,37,  shresthaavinash@rocketmail.com,9853666343, Talegaun, Jajarkot
PRASHANT,  THAPA,  M,33,  prashant639@rocketmail.com,9850320659, Devisthan, Myagdi
PITAMBAR,  PAIKARA,  M,38,  pitambarpaikara@gmail.com,9812439758, Linkuwapokhari, Khotang
SUBA,  CHAUDHARY,  M,43,  subachaudhary@yahoo.com,9844930637, Lomanthang, Mustang
VIJAY,  MAHARJAN,  M,59,  vijaymaharjan@gmail.com,9841792149, Malyangkot, Syangja
YADAV,  PAL,  M,20,  yadavp@hotmail.com,9813867406, Chulachuli, Ilam
SATYA,  SUNUWAR,  M,23,  satya558@rocketmail.com,9810927834, Labatoli, Dhanusa
KRISHNA,  NEPAL,  M,52,  krishna90@gmail.com,9812734950, Dhimal, Makwanpur
RAM,  RIJAL,  M,42,  ram473@hotmail.com,9811693853, Kharigera, Dailekh
BISHANT,  BHATTA,  M,55,  bhattabishant@rocketmail.com,9812800609, Bhaluwa, Sunsari
SUMAN,  DAS,  M,20,  suman886@yahoo.com,9810713511, Udayapurdhurmi, Parsa
PARWAT,  MAHARJAN,  M,29,  parwatmaharjan@gmail.com,9848999836, Kalika, Sindhupalchok
KISHOR,  BHANDARI,  M,21,  bhandarikishor@rocketmail.com,9852053725, Bijubar, Pyuthan
TEJAN,  KHATIWADA,  M,56,  tejan373@rocketmail.com,9812925426, Sapahi, Dhanusa
KAUSHAL,  YADAV,  M,46,  yadavkaushal@yahoo.com,9848555645, Thulogoun, Rasuwa
SHUVANJAN,  BANIYA,  M,16,  shuvanjanban@live.com,9841357508, Shambubhagawatipur, Tanahu
SANGIT,  MAGAR,  M,26,  sangitmagar@yahoo.com,9812871395, Saramthali, Rasuwa
DEEPA,  PHUYAL,  F,15,  deepaphuyal@live.com,9811926882, Kerabari, Gorkha
PASHUPATI,  GHIMIRE,  M,50,  pashupatighi@hotmail.com,9811691861, Khumjung, Solukhumbu
MADAN,  CHAUDHARY,  M,40,  madanchaudhary@hotmail.com,9859537101, Asurkot, Arghakhanchi
SARA,  SHRESTHA,  F,29,  sarashrestha@hotmail.com,9857119979, Rabi, Panchthar
MANAB,  DHUNGANA,  M,45,  manabdhungana@gmail.com,9814037462, Banakatawa, Banke
PAWAN,  SHRESTHA,  M,29,  pawanshre@rocketmail.com,9812312361, Dhikpur, Dang
GOKARNA,  SAPKOTA,  M,18,  gokarnasapkota@hotmail.com,9814951609, Bakalauri, Sunsari
IN,  MUDBHARI,  M,35,  inmudbhari@hotmail.com,9812039871, Dagatundada, Baglung
RAMCHANDRA,  MAHARJAN,  M,40,  ramchandramaharjan@hotmail.com,9854965454, Bhalchaur, Salyan
GUNARAJ,  MAHARJAN,  M,42,  maharjangunaraj@live.com,9849588796, Golaganj, Bara
PRASUN,  AMATYA,  M,20,  prasunamatya@yahoo.com,9858764830, Khaumale, Mugu
ASMITA,  PARAJULI,  F,42,  asmitaparajuli@yahoo.com,9857194535, Nayagaundeupur, Kavre
BISWASH,  PAUDEL,  M,53,  biswash105@hotmail.com,9810565655, Salle, Khotang
POOJA,  SHRESTHA,  F,18,  pooja155@yahoo.com,9813687164, Halwar, Dang
NISCHAL,  ANSARI,  M,53,  nischalans@gmail.com,9852871821, Jutpani, Chitawan
ALITA,  ACHARYA,  F,34,  alita993@hotmail.com,9812067381, Tamfula, Terhathum
RAHUL,  DHUNGANA,  M,44,  rahuldhungana@hotmail.com,9813571513, Lungrupa, Panchthar
SADEEP,  GAUTAM,  M,22,  sadeepgau@live.com,9845181430, Rawadolu, Okhaldhunga
NIKESH,  KATUWAL,  M,53,  katuwalnikesh@rocketmail.com,9847580308, Marmaparikanda, Salyan
SHAILENDRA,  REGMI,  M,54,  shailendrare@gmail.com,9814379951, Khalanga, Salyan
SHUBHASH,  K.C.,  M,53,  shubhashk.c.@live.com,9813710469, Phatepur, Banke
SUBHAN,  YADAV,  M,17,  yadavsubhan@hotmail.com,9840258881, Dilasaini, Baitadi
SOWAN,  BHATTARAI,  M,36,  bhattaraisowan@live.com,9810569041, Harnaiya, Rupandehi
ABHISHEK,  SINGH,  M,51,  abhisheksingh@rocketmail.com,9850426170, Badharwa, Rautahat
PAPPU,  RIJAL,  M,55,  pappurijal@rocketmail.com,9843323445, Seri, Mugu
DAMODAR,  SUBEDI,  M,26,  damodarsubedi@hotmail.com,9814478381, Bilandu, Okhaldhunga
SWOPNIL,  NEUPANE,  M,38,  neupaneswopnil@live.com,9814681079, Balakot, Parbat
YAGYA,  NEUPANE,  M,28,  yagyaneupane@hotmail.com,9852313124, Nagi, Bhojpur
PUSPA,  SUKUBHATU,  M,27,  sukubhatupuspa@gmail.com,9842041742, Dhumthang, Sindhupalchok
NAV,  SIGDEL,  M,29,  navsigdel@rocketmail.com,9843841187, Gulariya Municipality, Bardiya
NAVIN,  MISHRA,  M,39,  navin622@rocketmail.com,9811938150, Rapakot, Syangja
ASMOD,  ARYAL,  M,57,  asmodar@yahoo.com,9810669225, Hansipur, Dang
SUSHMA,  GHIMIRE,  F,60,  sushmaghi@hotmail.com,9859389312, Mohanpurkamalpur, Siraha
ASPHOTA,  SINGH,  F,58,  singhasphota@yahoo.com,9850059904, Badagaun, Salyan
SUBISH,  RANPAL,  M,59,  subishranpal@live.com,9854564625, Chyasmitar, Khotang
PRATIK,  ADHIKARI,  M,26,  pratik699@gmail.com,9846954718, Barsain(Ko.), Saptari
SHEKHAR,  REGMI,  M,37,  shekharregmi@hotmail.com,9855808983, Setidobhan, Syangja
JITENDRA,  POKHAREL,  M,48,  jitendrapokh@rocketmail.com,9810317485, Aalapot, Kathmandu
LAVALESH,  GAUTAM,  M,39,  lavalesh961@gmail.com,9810957293, Devsthal, Salyan
ARUN,  JOSHI,  M,16,  arunjo@hotmail.com,9812688783, Gokuleswor, Darchaula
AAVAAS,  BISTA,  M,57,  aavaas404@live.com,9847315517, Patigaun, Morang
RAJARSHI,  ARYAL,  M,15,  rajarshiaryal@live.com,9811661714, Bahadurganj, Kapilbastu
ADARSHA,  YADAV,  M,55,  adarsha309@hotmail.com,9812745405, Mangjabung, Panchthar
ANIJ,  RISAL,  M,37,  anijri@gmail.com,9851563931, Jayakhani, Gulmi
ROBIN,  KHANAL,  M,35,  robin208@hotmail.com,9855864629, Bihunkot, Baglung
SUJANRAJ,  MISHRA,  M,53,  mishrasujanraj@rocketmail.com,9854598612, Budhabare, Jhapa
SAMEEKSHA,  YADAV,  F,37,  sameekshayadav@yahoo.com,9813363113, Nundhaki, Sankhuwasabha
HARISH,  SHAH,  M,15,  harishshah@yahoo.com,9810994314, Baneswor, Sankhuwasabha
SUBODH,  NEUPANE,  M,15,  subodh293@gmail.com,9810238057, Laxmipur(Pra.Ma.), Siraha
UTSAV,  DAHAL,  M,49,  utsav965@rocketmail.com,9814087912, Shreejung, Terhathum
SUHIT,  BANSKOTA,  M,21,  banskotasuhit@live.com,9853696210, Gedahiguthi, Rautahat
KUMAR,  YADAV,  M,56,  kumar594@live.com,9858575869, Maryadpur, Rautahat
SAJIN,  JOSHI,  M,45,  sajinjo@hotmail.com,9810604780, Harpur, Parsa
SUBASH,  KANDEL,  M,44,  subashkandel@live.com,9812587697, Bageswori, Bhaktapur
BIJAY,  LAMA,  M,37,  bijayla@yahoo.com,9810277998, Yamfudin, Taplejung
ASBINA,  BHATTARAI,  F,36,  asbinabhattarai@yahoo.com,9813756164, Gamnangtar, Okhaldhunga
SUSHEEL,  ACHARYA,  M,27,  susheel414@gmail.com,9858751277, Lung, Pyuthan
ASIM,  GOTAME,  M,58,  asimgot@yahoo.com,9810204673, Dohali, Gulmi
AMAN,  GHIMIRE,  M,44,  aman785@live.com,9812663591, Pangtang, Sindhupalchok
HEMANTA,  SHARMA,  M,50,  hemantasha@yahoo.com,9812100758, Benethokdeurali, Syangja
SRIJAN,  BHUJEL,  M,18,  srijanbhu@gmail.com,9814242866, Bijauri, Dang
DILIP,  GHIMIRE,  M,41,  dilipghimire@yahoo.com,9843705653, Ekarahiya, Mahottari
RAKESH,  BARTAULA,  M,20,  bartaularakesh@gmail.com,9810717362, Damak Municipality, Jhapa
DHARMENDRA,  SHARMA,  M,41,  dharmendra669@live.com,9812105599, Saping, Kavre
RAMPUKAR,  SHRESTHA,  M,21,  rampukarshrestha@hotmail.com,9855952602, Bhimeshwor, Sindhuli
SUBRAT,  SHARMA,  M,39,  subratsha@yahoo.com,9812407816, Jowaha(Jokaha), Rautahat
SUSHIL,  PANERU,  M,49,  sushil700@rocketmail.com,9814611233, Dhakadam, Salyan
ARBIND,  GUPTA,  M,35,  guptaarbind@rocketmail.com,9810375812, Jalpapur, Sunsari
PRITI,  SUNAR,  F,42,  sunarpriti@hotmail.com,9813125901, Goli, Solukhumbu
DIPAK,  RIJAL,  M,22,  dipak444@gmail.com,9814616833, Mahadevsthan, Dhading
HITESH,  THAPA,  M,49,  hiteshth@rocketmail.com,9812957594, Dewantar, Bhojpur
BISHNU,  DHUNGANA,  M,19,  bishnu318@hotmail.com,9851245016, Majhphantmallaj, Parbat
BIJAYA,  CHHETRI,  M,58,  chhetribijaya@live.com,9851980512, Khotangbazar, Khotang
